Appointment_Month,Product,Actual_RGU,Forecasted_RGU,Adjusted_RGU
2023-12-01,SECURITY,511,0,0
2024-01-01,SECURITY,332,0,0
2024-02-01,SECURITY,513,0,0
2024-03-01,SECURITY,407,0,0
2024-04-01,SECURITY,411,0,0
2024-05-01,SECURITY,396,0,0
2024-06-01,SECURITY,460,0,0
2024-07-01,SECURITY,398,0,0
2024-08-01,SECURITY,386,0,0
2024-09-01,SECURITY,432,0,0
2024-10-01,SECURITY,470,0,0
2024-11-01,SECURITY,478,0,0
2024-12-01,SECURITY,461,0,0
2025-01-01,SECURITY,345,0,0
2025-02-01,SECURITY,570,465,465
2025-03-01,SECURITY,0,535,535
2025-04-01,SECURITY,0,454,454
2025-05-01,SECURITY,0,504,504
2025-06-01,SECURITY,0,502,502
2025-07-01,SECURITY,0,391,391
2025-08-01,SECURITY,0,488,488
2025-09-01,SECURITY,0,495,495
2025-10-01,SECURITY,0,460,460
2025-11-01,SECURITY,0,480,480
2025-12-01,SECURITY,0,430,430
2022-01-01,WAN L2_L3,0,0,0
2022-02-01,WAN L2_L3,77,0,0
2022-03-01,WAN L2_L3,41,0,0
2022-04-01,WAN L2_L3,64,0,0
2022-05-01,WAN L2_L3,66,0,0
2022-06-01,WAN L2_L3,114,0,0
2022-07-01,WAN L2_L3,83,0,0
2022-08-01,WAN L2_L3,89,0,0
2022-09-01,WAN L2_L3,70,0,0
2022-10-01,WAN L2_L3,62,0,0
2022-11-01,WAN L2_L3,45,0,0
2022-12-01,WAN L2_L3,73,0,0
2023-01-01,WAN L2_L3,59,0,0
2023-02-01,WAN L2_L3,42,0,0
2023-03-01,WAN L2_L3,48,0,0
2023-04-01,WAN L2_L3,38,0,0
2023-05-01,WAN L2_L3,88,0,0
2023-06-01,WAN L2_L3,51,0,0
2023-07-01,WAN L2_L3,69,0,0
2023-08-01,WAN L2_L3,63,0,0
2023-09-01,WAN L2_L3,44,0,0
2023-10-01,WAN L2_L3,61,0,0
2023-11-01,WAN L2_L3,53,0,0
2023-12-01,WAN L2_L3,83,0,0
2024-01-01,WAN L2_L3,51,0,0
2024-02-01,WAN L2_L3,67,0,0
2024-03-01,WAN L2_L3,57,0,0
2024-04-01,WAN L2_L3,39,0,0
2024-05-01,WAN L2_L3,75,0,0
2024-06-01,WAN L2_L3,66,0,0
2024-07-01,WAN L2_L3,54,0,0
2024-08-01,WAN L2_L3,54,0,0
2024-09-01,WAN L2_L3,86,0,0
2024-10-01,WAN L2_L3,74,0,0
2024-11-01,WAN L2_L3,120,0,0
2024-12-01,WAN L2_L3,79,0,0
2025-01-01,WAN L2_L3,66,0,0
2025-02-01,WAN L2_L3,75,65,65
2025-03-01,WAN L2_L3,0,62,62
2025-04-01,WAN L2_L3,0,85,85
2025-05-01,WAN L2_L3,0,76,76
2025-06-01,WAN L2_L3,0,78,78
2025-07-01,WAN L2_L3,0,68,68
2025-08-01,WAN L2_L3,0,53,53
2025-09-01,WAN L2_L3,0,71,71
2025-10-01,WAN L2_L3,0,96,96
2025-11-01,WAN L2_L3,0,95,95
2025-12-01,WAN L2_L3,0,83,83
2022-01-01,WIFI,0,0,0
2022-02-01,WIFI,598,0,0
2022-03-01,WIFI,239,0,0
2022-04-01,WIFI,362,0,0
2022-05-01,WIFI,244,0,0
2022-06-01,WIFI,411,0,0
2022-07-01,WIFI,166,0,0
2022-08-01,WIFI,353,0,0
2022-09-01,WIFI,147,0,0
2022-10-01,WIFI,163,0,0
2022-11-01,WIFI,109,0,0
2022-12-01,WIFI,88,0,0
2023-01-01,WIFI,89,0,0
2023-02-01,WIFI,1025,0,0
2023-03-01,WIFI,69,0,0
2023-04-01,WIFI,61,0,0
2023-05-01,WIFI,35,0,0
2023-06-01,WIFI,86,0,0
2023-07-01,WIFI,72,0,0
2023-08-01,WIFI,98,0,0
2023-09-01,WIFI,28,0,0
2023-10-01,WIFI,53,0,0
2023-11-01,WIFI,261,0,0
2023-12-01,WIFI,217,0,0
2024-01-01,WIFI,67,0,0
2024-02-01,WIFI,99,0,0
2024-03-01,WIFI,45,0,0
2024-04-01,WIFI,29,0,0
2024-05-01,WIFI,52,0,0
2024-06-01,WIFI,125,0,0
2024-07-01,WIFI,31,0,0
2024-08-01,WIFI,83,0,0
2024-09-01,WIFI,87,0,0
2024-10-01,WIFI,47,0,0
2024-11-01,WIFI,142,0,0
2024-12-01,WIFI,155,0,0
2025-01-01,WIFI,404,0,0
2025-02-01,WIFI,188,182,182
2025-03-01,WIFI,0,203,203
2025-04-01,WIFI,0,283,283
2025-05-01,WIFI,0,362,362
2025-06-01,WIFI,0,353,353
2025-07-01,WIFI,0,359,359
2025-08-01,WIFI,0,367,367
2025-09-01,WIFI,0,356,356
2025-10-01,WIFI,0,354,354
